ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global
1664,simple,AES-KB22K,Everfit Set of 5 Kettle Bell Set,1,0,1,,"<p><strong>Set of 5 Kettle Bell Weight Fitness Exercise Kit</strong> <br>Suitable for both men and women, the weights feature high quality construction<br>that ensures safe and effective use. It features an easy-to-handle design with anti-slip grips,<br>stable bases and premium concrete filings.<br><br><strong>Features</strong><br>*Concrete filled kettle bells<br>*Set of 5 kettle bells<br>*Consists of 2 units of 2kg for light trainings<br>*Comes in 4 sizes/weights<br><br><strong>Specifications</strong><br>* Kettle Bell Weight: 2kg, 4kg, 6kg, 8kg<br><br><strong>Package Content</strong><br>1x Kettle Bell weight set<br></p>",12/1/2021,12/17/2021,taxable,,0,0,0,0,48.5,24.41,9.84,11.81,1,,63.58,74.8,Sports & Fitness > Fitness Accessories,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-KB22K-99.jpg",,,,,,,,,0,,,1,1,Brand,Unbranded,1,1,EAN,9.35E+12,1,1
1665,simple,AES-T001B,Everfit 3 Block Level Aerobic Step Bench ,1,0,1,,"<p><strong>Exercise Aerobic Step Bench</strong> <br><br>Perfect for in home exercise the step bench features an anti-slip surface design and a wide stepping platform.<br>To suit training needs the height can be adjusted for maximum comfort.<br>No assembly neccesary its as easy as stacking each step on top of eachother. <br><br><strong>Features</strong><br><br><br>* Commercial Gym Grade<br><br>* Adjustable 3-level stack design<br><br>* Anti-slip surface design<br><br>* Non-skid floor pads<br><br>* EVA mat platform covering<br><br>* Maximum weight capacity of 300kg<br><br>* No assembly required<br><br>* Dimensions: 110 x 40 x 20cm<br><br>* Height Adjustments: 10cm, 15cm, 20cm<br><br>* Weight: 10kg<br><br><strong>Specifications</strong><br>* Weight capacity: 300kg<br>* Dimensions: 110 x 40 x 20cm<br>* Adjustable height level: 10cm / 15cm / 20cm<br>* Weight: 10kg<br><br><br><strong>Package Contents</strong><br><br><br>* 1 x Aerobic Step<br></p>",12/1/2021,12/17/2021,taxable,,0,0,0,0,18.74,42.91,16.54,8.27,1,,99.45,117,Sports & Fitness > Fitness Accessories,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T001B-99.jpg",,,,,,,,,0,,,1,1,Brand,Everfit,1,1,EAN,9.35E+12,1,1
1666,simple,AES-T002,Everfit 3 Level Aerobic Step Bench ,1,0,1,,<p><strong>Fitness Exercise Aerobic Step Bench </strong> <br>Perfect for in home exercise the step bench features an anti-slip surface design and a wide stepping platform.<br>To suit training needs the height can be adjusted for maximum comfort.<br>No assembly neccesary its as easy as stacking each step on top of eachother<br><br><strong>Features</strong><br>* Commercial Gym Grade<br>* Adjustable 3-level stack design<br>* Wide stepping platform<br>* Maximum weight capacity of 250kg<br>* No assembly required<br>* Dimensions: 78 x 28 x 19.5cm<br>* Weight: 4.5kg<br><br><strong>Package Contents</strong><br>1 x Aerobic Step<br><br><br><br><br></p>,12/1/2021,12/17/2021,taxable,,0,0,0,0,10.14,32.09,12.72,4.65,1,,46.33,54.5,Sports & Fitness > Fitness Accessories,,,"https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-00.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-01.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-02.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-03.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-04.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-05.jpg,https://cdn.dropshipzone.com.au/media/catalog/product/A/E/AES-T002-99.jpg",,,,,,,,,0,,,1,1,Brand,Everfit,1,1,EAN,9.35E+12,1,1
