SKU,Regular_Price,Sale Price,Date sale price start,Date sale price ends,Status,Stock,Type,Name,Weight,Length,Width,Height,Post_Title,Post_Content,Images,Category
PET-STROLLER-4WL-BK,68.2,54.66,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet 4 Wheel Pet Stroller - Black,6.1,38,18.5,81.5,i.Pet 4 Wheel Pet Stroller - Black,"<p>Need to take your small pet out for a walk with minimum hassle? You can, with the i.Pet Pet Stroller. It is sturdy, well-made, comfortable and comes with a host of pet-friendly features. Such as multiple mesh screens with zippers for easy access and breathability, a bottler holder for refreshment, spacious storage, durable fabric, and omni-directional front wheels and brake-fitted rear wheels for easy handling.  Better still, the stroller can opened and kept with a simple one-step fold operation and easily washable.  In short, the i.Pet Pet Stroller is one adorable ride for your precious pet. </p>
<strong>Features:</strong>
<li>One-step fold</li>
<li>Catch hook</li>
<li>Adjustable front veil</li>
<li>Large space basket</li>
<li>Anti-slip foam handle</li>
<li>360° rotatable front wheels </li>
<li>Rear wheels with damping </li>
<li>Wear-resistant EVA wheels</li>
<li>600D Oxford Fabric and nylon base</li>
<li>Machine washable and detachable insert</li>
<li>Rear brakes</li>
<li>Double clasps</li>
<li>Bottle holder</li>
<li>Waterproof</li>
<li>Removable cushion</li>
<li>Assembly required: Yes</li>
<li>No. of package: 1</li>
<br>
<strong>Specifications:</strong>
<li>Frame material: Steels </li>
<li>Tube thickness: 0.7 mm </li>
<li>Surface coating craft: Powder-coated </li>
<li>Fabric material: 600D Oxford </li>
<li>Wheels material: EVA </li>
<li>Front wheel size: 6"" </li>
<li>Rear wheel size: 7"" </li>
<li>Product overall size: 67cm(L) x 47cm(W) x 100cm(H)</li>
<li>Pet cage size: 55cm(L) x 35cm(W) x 55 cm(H) </li>
<li>Storage basket size: 30cm(L) x 30cm(W) x 20cm(H)</li>
<li>Pet cage weight capacity: 15kg </li>
<li>Storage basket load capacity: 3kg </li>
<li>Frame colour : Silver </li>
<li>Type: four-wheel </li>
<li>Color: Black  </li>
<br>
<strong>Product Contents:</strong>
<li>i.Pet Stroller  x1</li>
<li>Manual  x1</li>
</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/2731c1a17db558de9f826e0154150c5a/P/E/PET-STROLLER-4WL-BK-00.jpg,
PET-GT-RH1500D-220,189.2,159.28,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet Rabbit Hutch Hutches Large Metal Run Wooden Cage Chicken Coop Guinea Pig,25,95,72.5,25,i.Pet Rabbit Hutch Hutches Large Metal Run Wooden Cage Chicken Coop Guinea Pig,"<p>Featuring a fir wood construction, our i.Pet Pet Hutch is the perfect home for your little pets. It incorporates two living areas – one cosy bedroom on the upper level and a spacious play area on the ground level. The three doors provide easy access and cleaning to the living areas and are equipped with strong and firm security locks. The hutch is waterproof, anti-termite and is made of TUV approved eco-friendly materials. Moreover, it features a green asphalt roof to insulate your pets from the heat during summer and against the rain in winter, providing maximum comfort to your pets all year round. The hutch does not only provide a five-star living environment, the architectural design also makes cleaning and feeding easier for you. So seek no further than our pet hutch when looking for the ideal home for your pets!</p>
 
 <p><strong>Features</strong><br />
 High quality fir wood construction with mesh wire<br />
 Asphalt roof for rain and sun protection<br />
 Waterproof and anti-termite<br />
 Fully enclosed bedroom on upper level<br />
 Spacious integrated ground enclosed play area<br />
 Open floor design for grazing<br />
 Built-in and foldable ramp connected between floors<br />
 Three easy-to-access doors<br />
 Strong and firm security locks<br />
 Slide-out tray for easy cleaning<br />
 Made of RoHS approved eco-friendly material<br />
 </p>
 
 <p><strong>Specifications:</strong><br />
 Material: Fir wood and steel mesh wire, asphalt roof<br />
 Overall Dimensions: 220 x 52 x84 cm<br />
 Please refer to gallery for further dimensions<br />
 </p>
 
 <p><strong>Package Content</strong><br />
 1 x Pet hutch  <br />
 1 x Assembly kit  <br />
 1 x Assembly guide  <br />",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/4d17c301609ff9dcb591ae682814109a/P/E/PET-GT-RH1500D-220-00.jpg,
FIK-COOP-DOOR,114.4,92.4,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Giantz Automatic Chicken Coop Door Opener Cage Closer,1.5,61,23,11,Giantz Automatic Chicken Coop Door Opener Cage Closer,"<p>Need to let the chickens out early every day? Or to close the coop on time to keep predators and vermin out? Our Giantz Automatic Chicken Coop Door Control takes all the hassle away and lets you do the tasks easily and timely. Designed to operate on a timer and a light sensor that automatically adjusts for summer and winter day length, the coop door control uses an efficient motor with braided rope for strength and durability. The door and rails are made of alumumium for longlasting use and rust prevention. It also has a spring buffer to cushion the impact of the door operations. The control utilises a photosensitive resistance regulator and also features a digital display for easy monitoring. Powered by four AA-sized battery, the coop door control has a low battery warning light for convenient use. The entire control is weatherproof and all mounting screws are provided for a fast set-up.</p>




<p><strong>Features</strong><br />
Timer<br />
Light sensor activated<br />
Power by four AA-sized batteries (not included)<br />
Reliable motor<br />
Spring buffer<br />
Low battery warning light<br />
Weatherproof enclosure<br />
Mounting screws included<br />
Braided rope<br />
</p>



<p><strong>Specifications:</strong><br />
Power: 4 x AA-sized battery (not included)<br />
Controller size: 125mm X 125mm X 75mm<br />
Door material: High quality aluminium<br />
Lid material: ABS<br />
</p>



<p><strong>Package Content</strong><br />
1 x Giantz automatic chicken coop door <br />
1 x User Manual <br />
1 set x Mounting screws  <br />
1 set x Aluminium Door and Rails <br />
</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/79cdb786aa1720148f026eca7b3fe0a8/F/I/FIK-COOP-DOOR-00.jpg,
SFC-FIK-WIRE-5KM,154,247.86,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Giantz 5km Solar Electric Fence Energiser Charger with 500M Tape and 25pcs Insulators,4.278,30,20,28.517,Giantz 5km Solar Electric Fence Energiser Charger with 500M Tape and 25pcs Insulators,"<p><strong>i.Force Solar Electric Fence Energiser 5km</strong></p>
<p>**BONUS 500m Polywire, 25 x Post Insulator, 4 x Warning Sign**</p>
<p>Ever worried about livestock and animals escaping your property? Ever wanted to keep those pesky animals from neighbours or the wild away? This Solar Electric Fence Energiser can accomplish it all. Whether it is used on the farm or just around your suburban home, the Solar Fence Energiser can be effective in either environment. Sporting a basic and simple to install design, you can have it up in a matter of minutes. Our range of Fence Energisers is compact, lightweight and versatile - making it an effective low maintenance item around the property. The units are designed solely to keep pets and livestock in or out of your property. Be it a few hundred metres or 5 km, our Fence Energiser can continuously keep your fence charged. If activated by an animal making contact with the fence, the unit will only generate a brief pulse to prevent harmful electric shocks as the voltage will drop from 8KV to 1.2KV (which is still enough to make the animals back off). We now offer our Electric Fence Energisers with bonus warning signs, polywire and insulators.</p>
<p><strong>Note: Please ensure the operator does not have any heart problems as this item may cause further health issues.</strong></p>

<p><strong>Features</strong><br />
Fence Energiser<br />
<br />
5km solar electric fence energiser<br />
0.15J fence energiser w/ lead acid battery<br />
Excellent device to keep livestock on grounds<br />
Monocrystalline silicon solar panel provides a more efficient power </p>
<p>conversion<br />
  Protective functions - over charge protection & reverse battery protection<br />
  Fully charged battery can work up to 15-20 sunless days<br />
  Waterproof; offers continuous service<br />
  Brief pulse function to prevent harmful electric shocks<br />
  Connection cables included<br />
  Bonus 4 x warning sign sticker<br />
  CE approved</p>
<p>Polywire<br />
  Highly visible red and white wire to reduce accidental contacts<br />
  Compatible with fence energiser<br />
  Antirust and high conductivity stainless steel wire<br />
  9 strands of 0.15mm stainless steel<br />
  Tightly wound and UV stabilised; avoids disintegration under sun<br />
  Ideal for livestock fencing and control grazing</p>
<p><strong>Specifications:</strong><br />
Fence Energiser<br />
Discharge energy: 0.15J<br />
Output voltage: 8kV (+/-1.5kV)<br />
Fence length: Up to 5km<br />
Solar panel: Monocrystalline silicon<br />
Solar panel size: 13.5 x 12cm<br />
Solar panel output: 1.3W<br />
Operation time of a fully charged battery: 15-20 days<br />
Charge voltage: 7.5V DC<br />
Battery: 6V 4.5Ah lead sealed<br />
Dimensions: 19.5 x 14 x 27.5cm<br />
Weight: 2kg<br />
Colour: Black<br />
Polywire<br />
Length: 500m/roll<br />
Width: 2.3mm<br />
Strand: 9 x 0.15MM stainless steel wire<br />
Electrical resistance: 4.8ΩOHMS<br />
Coating: UV treated<br />
Colour: Red & white</p>

<p><strong>Package Content</strong><br />
1 x Solar Electric Fence Energiser<br />
1 x Cable Set<br />
4 x Warning Sign<br />
1 x 500m Polywire <br />
25 x Post Insulator<br />
</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/1d05a11d06ab4d02fd763df3db5d690c/S/F/SFC-FIK-WIRE-5KM-00.jpg,
SFC-FIK-TAPE-5KM,150.7,239.59,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Giantz 5km Solar Electric Fence Energiser Charger with 400M Tape and 25pcs Insulators,6.576,27,25,38.97,Giantz 5km Solar Electric Fence Energiser Charger with 400M Tape and 25pcs Insulators,"<p>Worried about livestock and animals escaping your property? Or keeping pesky animals from neighbours or the wild away? This Solar Electric Fence Energiser is perfect solution to set everything in its place.</p>
<p>Whether it is used on the farm or around your suburban home, the Solar Fence Energiser can be effective in either environment. Sporting a basic and simple-to- install design, you can have it up in a matter of minutes. Our Fence Energiser is compact, lightweight and versatile - making it an effective low maintenance item around the property.</p>
<p>Be it a few hundred metres or 5km, our Fence Energiser can continuously keep your fence charged. If activated by an animal coming into contact with the fence, the unit will only generate a brief pulse to prevent harmful electric shocks as the voltage will drop from 8KV to 1.2KV (which is still enough to make the animals back off).</p>
<p>Fully charged, the Fence Energiser, with its more efficient monocrystalline solar panel, can store energy of up to 20 sun-less days and has protective functions to prevent over charging and reverse battery malfunction.</p>
<p>Now offered with bonus warning signs, polytape and insulators, our Fence Energiser is all geared up with great value for you. </p>

<p><strong>Features</strong><br />
Fence Energiser<br />
<br />
5km solar electric fence energiser<br />
0.15J fence energiser w/ lead acid battery<br />
Excellent device to keep livestock on grounds<br />
Monocrystalline silicon solar panel provides a more efficient power </p>
<p>conversion<br />
  Protective functions - over charge protection & reverse battery protection<br />
  Fully charged battery can work up to 15-20 sunless days<br />
  Waterproof; offers continuous service<br />
  Brief pulse function to prevent harmful electric shocks<br />
  Connection cables included<br />
  Bonus 4 x warning sign sticker<br />
  CE approved</p>
  Polytape<br />
  Highly visible red and white tape to reduce accidental contacts<br />
  Compatible with fence energiser<br />
  5 strands of 0.20mm stainless steel<br />
  Tightly wound and UV stabilised; avoids disintegration under sun<br />
  Antirust and high conductivity stainless steel wire<br />
  Great for horse fencing<br />
  Ideal for livestock fencing and control grazing</p>
<p><strong>Specifications:</strong><br />
Discharge energy: 0.15J<br />
Output voltage: 8kV (+/-1.5kV)<br />
Fence length: Up to 5km<br />
Solar panel: Monocrystalline silicon<br />
Solar panel size: 13.5 x 12cm<br />
Solar panel output: 1.3W<br />
Operation time of a fully charged battery: 15-20 days<br />
Charge voltage: 7.5V DC<br />
Battery: 6V 4.5Ah lead sealed<br />
Dimensions: 19.5 x 14 x 27.5cm<br />
Weight: 2kg<br />
Colour: Black<br />
Polytape:<br />
Length: 400m/roll<br />
Width: 12mm<br />
Strand: 5 x 0.2MM stainless steel wire<br />
Electrical resistance: 5.3ΩOHMS<br />
Coating: UV treated<br />
Colour: Red &amp; white</p>

<p><strong>Package Content</strong><br />
1 x Solar Electric Fence Energiser  <br />
1 x Cable Set <br />
4 x Warning Sign  <br />
1 x 400m Polytape  <br />
25 x Post Insulator  <br />
</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/eb6a46d5c69a74c19d8d05b603714db1/S/F/SFC-FIK-TAPE-5KM-00.jpg,
SFC-SO30-8KM-N,118.8,221.77,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Giantz 8km Solar Power Electric Fence Charger Energiser 0.3J White,4,31.5,27,27,Giantz 8km Solar Power Electric Fence Charger Energiser 0.3J White,"<p>Ever worried about livestock and animals escaping your property? This 8km Solar Electric Fence Energiser is the ideal product for you. Whether it is used on the farm or just around your suburban home, the solar fence energiser can perform effectively in either environment. Featuring a simple installation design, you can have it up in a matter of minutes. Our range of solar electric fence energiser is compact, lightweight and versatile; making it an effective low maintenance item around the property. If the fence is activated by an animal, the unit will generate a brief pulse, as the voltage will drop from 8KV to 1.2KV; to prevent harmful electric shocks.</p>
<p><strong>Note</strong><br /> 
  <strong>The electric shock given by the fence may present a danger for small children or persons suffering from heart problems. Please be cautious. 
Please ensure the operator does not have any heart problems as this item may cause further health issues.</strong></p>
<p><strong>Features</strong><br />
8km solar electric fence energiser<br />
0.3J fence energiser w/ lead acid battery<br />
Excellent device to keep livestock on grounds<br />
Monocrystalline silicon solar panel provides a more efficient power conversion<br />
Protective functions - over charge protection & reverse battery protection<br />
Fully charged battery can work up to 15-20 sunless days<br />
Waterproof; offers continuous service<br />
Brief pulse function to prevent harmful electric shocks<br />
Connection cables included<br />
Bonus 4 x warning sign sticker<br />
CE approved<br />
Assembly Required: Yes<br />
Number of packages: 1<br />
</p>
<p><strong>Specifications:</strong><br />
Discharge energy: 0.3J<br />
Output voltage: 8kV (+/-1.5kV)<br />
Fence length: Up to 8km<br />
Solar panel: Monocrystalline silicon<br />
Solar panel size: 14 x 16cm<br />
Solar panel output: 1.3W<br />
Operation time of a fully charged battery: 15-20 days<br />
Charge voltage: 7.5V to 9.5V DC<br />
Battery: 6V 7Ah lead sealed<br />
Waterproof rating: IP3<br />
Dimensions: 17 x 22.5 x 26.5cm <br />
Colour: Black and white<br />
</p>
<p><strong>Package Content</strong><br />
1 x 8km Solar Electric Fence Energiser<br />
1 x Cable Set<br />
4 x Warning Sign<br />
",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/511d94d0f4a88c4f7f9ba75b6030b265/S/F/SFC-SO30-8KM-N-00.jpg,
SFC-FIK-WIRE-8KM-N,171.6,264.39,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Giantz 8km Solar Electric Fence Energiser Charger with 500M Tape and 25pcs Insulators,7.661,31.5,27,36.03,Giantz 8km Solar Electric Fence Energiser Charger with 500M Tape and 25pcs Insulators,"<p><strong>i.Force Solar Electric Fence Energiser 8km</strong></p>
<p>**BONUS 500m Polywire, 25 x Post Insulator, 4 x Warning Sign**</p>
<p>Ever worried about livestock and animals escaping your property? Ever wanted to keep those pesky animals from neighbours or the wild away? This Solar Electric Fence Energiser can accomplish it all. Whether it is used on the farm or just around your suburban home, the Solar Fence Energiser can be effective in either environment. Sporting a basic and simple to install design, you can have it up in a matter of minutes. Our range of Fence Energisers is compact, lightweight and versatile - making it an effective low maintenance item around the property. The units are designed solely to keep pets and livestock in or out of your property. Be it a few hundred metres or 8 km, our Fence Energiser can continuously keep your fence charged. If activated by an animal making contact with the fence, the unit will only generate a brief pulse to prevent harmful electric shocks as the voltage will drop from 8KV to 1.2KV (which is still enough to make the animals back off). We now offer our Electric Fence Energisers with bonus warning signs, polywire and insulators.</p>
<p><strong>Note: Please ensure the operator does not have any heart problems as this item may cause further health issues.</strong></p>

<p><strong>Features</strong><br />
Fence Energiser<br />
<br />
8km olar electric fence energiser<br />
0.3J fence energiser w/ lead acid battery<br />
Excellent device to keep livestock on grounds<br />
Monocrystalline silicon solar panel provides a more efficient power </p>
<p>conversion<br />
  Protective functions - over charge protection & reverse battery protection<br />
  Fully charged battery can work up to 20 sunless days<br />
  Waterproof; offers continuous service<br />
  Brief pulse function to prevent harmful electric shocks<br />
  Connection cables included<br />
  Bonus 4 x warning sign sticker<br />
</p>
<p>Polywire<br />
  Highly visible red and white wire to reduce accidental contacts<br />
  Compatible with fence energiser<br />
  Antirust and high conductivity stainless steel wire<br />
  9 strands of 0.15mm stainless steel<br />
  Tightly wound and UV stabilised; avoids disintegration under sun<br />
  Ideal for livestock fencing and control grazing</p>
<p><strong>Specifications:</strong><br />
Discharge energy: 0.3J<br />
Output voltage: 8kV (+ -1.5kV)<br />
Charge voltage: 7.5V to 9.5V DC<br />
Fence length: Up to 8km<br />
Battery: 6V 7Ah Lead Sealed<br />
Operation time of a fully charged battery: 15-20 days<br />
Waterproof rating: IP3<br />
Solar panel: Monocrystalline silicon<br />
Solar panel output: 1.3W<br />
Solar panel size: 12 x 13.5cm<br />
Dimensions: 14 x 19.5 x 27.5cm<br />
Polywire<br />
Length: 500m/roll<br />
Width: 2.3mm<br />
Strand: 9 x 0.15MM stainless steel wire<br />
Electrical resistance: 4.8ΩOHMS<br />
Coating: UV treated<br />
Colour: Red & white</p>

<p><strong>Package Content</strong><br />
1 x Solar Electric Fence Energiser <br />
1 x Cable Set <br />
4 x Warning Sign<br />
1 x 500m Polywire <br />
25 x Post Insulator<br />
</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/627a6d12a71370105b07e3eba1df0dac/S/F/SFC-FIK-WIRE-8KM-N-00.jpg,
SFC-FIK-TAPE-8KM-N,170.5,256.12,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,Giantz 8km Solar Electric Fence Energiser Charger with 400M Tape and 25pcs Insulators,9.96,31.5,27,46.841,Giantz 8km Solar Electric Fence Energiser Charger with 400M Tape and 25pcs Insulators,"<p>Worried about livestock and animals escaping your property? Or keeping pesky animals from neighbours or the wild away? This Solar Electric Fence Energiser is perfect solution to set everything in its place.</p>
<p>Whether it is used on the farm or around your suburban home, the Solar Fence Energiser can be effective in either environment. Sporting a basic and simple-to- install design, you can have it up in a matter of minutes. Our Fence Energiser is compact, lightweight and versatile - making it an effective low maintenance item around the property.</p>
<p>Be it a few hundred metres or 8km, our Fence Energiser can continuously keep your fence charged. If activated by an animal coming into contact with the fence, the unit will only generate a brief pulse to prevent harmful electric shocks as the voltage will drop from 8KV to 1.2KV (which is still enough to make the animals back off).</p>
<p>Fully charged, the Fence Energiser, with its more efficient monocrystalline solar panel, can store energy of up to 20 sun-less days and has protective functions to prevent over charging and reverse battery malfunction.</p>
<p>Now offered with bonus warning signs, polytape and insulators, our Fence Energiser is all geared up with great value for you.</p>

<p><strong>Features</strong><br />
Fence Energiser<br />
<br />
8km Solar electric fence energiser<br />
Bonus charger for stable power<br />
0.3J fence energiser w/ lead acid battery<br />
Excellent device to keep livestock on grounds<br />
Monocrystalline silicon solar panel provides a more efficient power </p>
<p>conversion<br />
<br />
  Protective functions - over charge protection & reverse battery protection<br />
  Fully charged battery can work up to 15-20 sunless days<br />
  Waterproof; offers continuous service<br />
  Brief pulse function to prevent harmful electric shocks<br />
  Connection cables included<br />
  Bonus 4 x warning sign sticker</p>
<p>Polytape<br />
  <br />
Highly visible red and white tape to reduce accidental contacts<br />
Compatible with fence energiser<br />
5 strands of 0.20mm stainless steel<br />
Tightly wound and UV stabilised; avoids disintegration under sun<br />
Antirust and high conductivity stainless steel wire<br />
Great for horse fencing<br />
Ideal for livestock fencing and control grazing</p>
<p><strong>Specifications:</strong><br />
Fence Energiser<br />
Discharge energy: 0.3J<br />
Output voltage: 8kV (+ -1.5kV)<br />
Charge voltage: 7.5V to 9.5V DC<br />
Fence length: Up to 8km<br />
Battery: 6V 7Ah Lead Sealed<br />
Operation time of a fully charged battery: 20 days<br />
Waterproof rating: IP3<br />
Solar panel: Monocrystalline silicon<br />
Solar panel output: 1.3W<br />
Solar panel size: 12 x 13.5cm<br />
Dimensions: 14 x 19.5 x 27.5cm<br />
Polytape<br />
Length: 400m/roll<br />
Width: 12mm<br />
Strand: 5 x 0.2MM stainless steel wire<br />
Electrical resistance: 5.3Ω OHMS<br />
Coating: UV treated<br />
Colour: Red & white</p>

<p><strong>Package Content</strong><br />
1 x Solar Electric Fence Energiser <br />
1 x Cable Set<br />
4 x Warning Sign <br />
1 x 400m Polytape<br />
25 x  Post Insulator  <br />
</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/5b81bd7b53c5ed4f2436b2e69f6bb45a/S/F/SFC-FIK-TAPE-8KM-N-00.jpg,
PET-GT-RR-4,101.2,100.88,7/12/2021 0:00,18/12/2021 0:00,In Stock,200,simple,i.Pet Rabbit Hutch Chicken Coop,13,95,49,20.8,i.Pet Rabbit Hutch Chicken Coop,"<p>Create more roaming and living space for your chickens or even rabbits with our i.Pet chicken coop extension. Made of high quality fir wood, the coop has a large open-top access and handy side door for fast entry and exit as well as unrestricted accessibility within the coop. The galvanized wire mesh is durable and also offers ample ventilation for your creatures. There are also adequate secured locks to keep the coop well protected against any predator. Not least, the coop can fit easily to most hutches as an integrated and extended play area.</p>
 
 <p><strong>Features</strong><br />
 High quality fir wood construction<br />
 Galvanized wire mesh<br />
 Large top access<br />
 Handy side entrance<br />
 Spacious integrated ground enclosed play area<br />
 Strong security locks<br />
 Suitable for chicken or rabbits<br />
 Easy to assemble<br />
 Fits most pet hutches<br />
 </p>
 
 <p><strong>Specifications:</strong><br />
 Material: Fir wood and steel mesh wire<br />
 Overall Dimensions: 180 x 90 x49cm<br />
 Please refer to gallery for further dimensions<br />
 </p>
 
 <p><strong>Package Content</strong><br />
 1 x Pet hutch <br />
 1 x Assembly kit <br />
 1 x Assembly guide <br />",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/c694d2655892349eabe50cc7b9330aec/P/E/PET-GT-RR-4-00.jpg,
PET-DOGPLAYPEN-H100-AB,152.9,72.55,7/12/2021 0:00,18/12/2021 0:00,In Stock,199,simple,i.Pet 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Fence Play Pen 80x100cm,36.114,103,17,82.5,i.Pet 8 Panel Pet Dog Playpen Puppy Exercise Cage Enclosure Fence Play Pen 80x100cm,"<p><strong>8 Panel Portable Pet Playpen - Black</strong></p>
<p><strong>Features:</strong><br>
  * Multi-configuration<br>
  * Strong steel frames<br>
  * Black powder coated to enhance durability<br>
  * Round edges - safer for your pets<br>
  * Rust resistant<br>
  * Easily foldable for convenient storage and transportation<br>
  * Secure lock system on access door<br>
  * Simple set up - no tools required</p>
<p><strong>Specifiations:</strong><br>
  * Dimension per panel: 80cm x 100cm<br>
  * Dimension per gap : 19cm x 3.6cm<br>
  * Colour: Black<br>
  * Door latch: 2<br>
  * Lock for panels: 1</p>
<p><strong>Package Content:</strong><br>
  1x Pet Playpen<br>
  1x Assembly Manual</p>",https://cdn.dropshipzone.com.au/media/catalog/product/cache/1/image/265x/0734ad06b0ef4d28292d6986f9ae65ee/P/E/PET-DOGPLAYPEN-H100-AB-00.jpg,
